"time","cases","reported_cases","variable"
2007,5285,177.946127946128,"prediction TSIR"
2007.04,4442.71,149.586195286195,"prediction TSIR"
2007.08,3234.71,108.912794612795,"prediction TSIR"
2007.12,3274,110.23569023569,"prediction TSIR"
2007.15,3738.3,125.868686868687,"prediction TSIR"
2007.19,4163.44,140.183164983165,"prediction TSIR"
2007.23,4434.35,149.304713804714,"prediction TSIR"
2007.27,4719.48,158.90505050505,"prediction TSIR"
2007.31,6675.76,224.773063973064,"prediction TSIR"
2007.35,10426.17,351.049494949495,"prediction TSIR"
2007.38,16217.9,546.057239057239,"prediction TSIR"
2007.42,20015.44,673.920538720539,"prediction TSIR"
2007.46,25143.74,846.590572390572,"prediction TSIR"
2007.5,32177.9,1083.43097643098,"prediction TSIR"
2007.54,36618.14,1232.93400673401,"prediction TSIR"
2007.58,33899.48,1141.39663299663,"prediction TSIR"
2007.62,29734.11,1001.14848484848,"prediction TSIR"
2007.65,24303.22,818.290235690236,"prediction TSIR"
2007.69,20043.47,674.86430976431,"prediction TSIR"
2007.73,16069.86,541.072727272727,"prediction TSIR"
2007.77,12407.82,417.771717171717,"prediction TSIR"
2007.81,9913.67,333.793602693603,"prediction TSIR"
2007.85,7522.88,253.295622895623,"prediction TSIR"
2007.88,6199.22,208.727946127946,"prediction TSIR"
2007.92,4791.64,161.33468013468,"prediction TSIR"
2007.96,4957.32,166.913131313131,"prediction TSIR"
2007,5285,177.946127946128,"prediction TSIR-increased S"
2007.04,5549.18,186.841077441077,"prediction TSIR-increased S"
2007.08,4911.4,165.367003367003,"prediction TSIR-increased S"
2007.12,5881.4,198.026936026936,"prediction TSIR-increased S"
2007.15,7825.42,263.482154882155,"prediction TSIR-increased S"
2007.19,9976.57,335.911447811448,"prediction TSIR-increased S"
2007.23,11942.46,402.10303030303,"prediction TSIR-increased S"
2007.27,13972.38,470.450505050505,"prediction TSIR-increased S"
2007.31,21667.13,729.532996632997,"prediction TSIR-increased S"
2007.35,36563.8,1231.10437710438,"prediction TSIR-increased S"
2007.38,60475.66,2036.21750841751,"prediction TSIR-increased S"
2007.42,78072.85,2628.71548821549,"prediction TSIR-increased S"
2007.46,101343.5,3412.23905723906,"prediction TSIR-increased S"
2007.5,131669.05,4433.30134680135,"prediction TSIR-increased S"
2007.54,149666.79,5039.28585858586,"prediction TSIR-increased S"
2007.58,135821.81,4573.12491582492,"prediction TSIR-increased S"
2007.62,114995.33,3871.89663299663,"prediction TSIR-increased S"
2007.65,89803.9,3023.70033670034,"prediction TSIR-increased S"
2007.69,70189.2,2363.27272727273,"prediction TSIR-increased S"
2007.73,53226.9,1792.15151515152,"prediction TSIR-increased S"
2007.77,38888.78,1309.38653198653,"prediction TSIR-increased S"
2007.81,29383.52,989.344107744108,"prediction TSIR-increased S"
2007.85,21154.58,712.275420875421,"prediction TSIR-increased S"
2007.88,16614.92,559.424915824916,"prediction TSIR-increased S"
2007.92,12266.16,413.00202020202,"prediction TSIR-increased S"
2007.96,12137.86,408.682154882155,"prediction TSIR-increased S"
2002,38,1.27946127946128,"TSIR fit"
2002.04,59.69,2.00976430976431,"TSIR fit"
2002.08,72.48,2.44040404040404,"TSIR fit"
2002.12,119.4,4.02020202020202,"TSIR fit"
2002.15,206.86,6.96498316498317,"TSIR fit"
2002.19,334.38,11.2585858585859,"TSIR fit"
2002.23,489.12,16.4686868686869,"TSIR fit"
2002.27,678.36,22.840404040404,"TSIR fit"
2002.31,1241.56,41.803367003367,"TSIR fit"
2002.35,2404.16,80.9481481481481,"TSIR fit"
2002.38,4552.33,153.277104377104,"TSIR fit"
2002.42,6698.71,225.545791245791,"TSIR fit"
2002.46,9872.18,332.396632996633,"TSIR fit"
2002.5,14582.95,491.008417508418,"TSIR fit"
2002.54,18914.87,636.86430976431,"TSIR fit"
2002.58,19745.76,664.840404040404,"TSIR fit"
2002.62,19306.75,650.058922558923,"TSIR fit"
2002.65,17410.96,586.227609427609,"TSIR fit"
2002.69,15669.5,527.592592592593,"TSIR fit"
2002.73,13619.74,458.577104377104,"TSIR fit"
2002.77,11299.82,380.46531986532,"TSIR fit"
2002.81,9586.57,322.780134680135,"TSIR fit"
2002.85,7702.21,259.33367003367,"TSIR fit"
2002.88,6685.27,225.093265993266,"TSIR fit"
2002.92,5395.26,181.658585858586,"TSIR fit"
