Accession,Serotype,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample
OQ821330,1,,"Vogels,C.B.F., Breban,M.I., Chaguza,C., Hill,V., Paul,L., Michael,S., Bunch,S., Cano,N., Jaber,R., Morrison,A., Panzera,C., Stryker,I., Vergara,J., Zimler,R., Kopp,E., Herberlein,L., Grubaugh,N.D.",2023-04-19T00:00:00Z,DENV1/Cambodia/2019-07-17/Yale-DN00542-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10091,partial,1_I genotype,,,Cambodia,,Homo sapiens,blood,7/17/19,
OQ683856,1,,"Oum,M., Lay,S., Chea,S., Bohl,J.A., Yek,C., Manning,J.E.",2023-03-29T00:00:00Z,100-0587,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10733,partial,,,,Cambodia,,Homo sapiens,blood,11/8/19,
OQ683880,1,,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Oum,M.",2023-03-29T00:00:00Z,109-0340,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10680,partial,,,1,Cambodia,,Homo sapiens,blood,7/31/20,
OQ678009,1,,"Oum,M., Lay,S., Chea,S., Bohl,J.A., Yek,C., Manning,J.E.",2023-03-28T00:00:00Z,100-0652D0,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10680,partial,,,,Cambodia,,Homo sapiens,blood,8/27/19,
OQ678018,1,,"Oum,M., Lay,S., Chea,S., Bohl,J.A., Yek,C., Manning,J.E.",2023-03-28T00:00:00Z,100-0245,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10677,partial,,,,Cambodia,,Homo sapiens,blood,2/16/20,
OQ678060,1,,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Oum,M.",2023-03-28T00:00:00Z,109-0169,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10677,partial,,,1,Cambodia,,Homo sapiens,blood,11/26/19,
OQ678061,1,,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Oum,M.",2023-03-28T00:00:00Z,109-0181,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10677,partial,,,1,Cambodia,,Homo sapiens,blood,12/17/19,
OQ678099,1,,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Oum,M.",2023-03-28T00:00:00Z,109-0195,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10677,partial,,,1,Cambodia,,Homo sapiens,blood,12/26/19,
OQ678244,1,,"Oum,M., Lay,S., Chea,S., Bohl,J.A., Yek,C., Manning,J.E.",2023-03-28T00:00:00Z,100-0747,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10497,partial,,,,Cambodia,,Homo sapiens,blood,8/21/18,
OQ678252,1,,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Oum,M.",2023-03-28T00:00:00Z,109-0187,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10646,partial,,,1,Cambodia,,Homo sapiens,blood,12/20/19,
